"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"1",1001,651,223,329,0,97,2013
"2",1002,1948,640,937,5,258,2013
"3",1003,1926,658,948,3,255,2013
"4",1004,860,226,318,1,75,2013
"5",10041,2274,879,1286,8,366,2013
"6",10042,364,114,163,3,33,2013
"7",10043,644,192,278,2,62,2013
"8",10044,939,301,399,1,80,2013
"9",10045,497,217,272,4,42,2013
"10",10046,272,82,100,1,12,2013
"11",1051,596,126,194,0,58,2013
"12",1053,813,222,307,3,66,2013
"13",1054,874,215,288,3,54,2013
"14",1055,904,245,324,6,52,2013
"15",1056,1551,433,592,6,127,2013
"16",1057,514,123,152,0,20,2013
"17",1058,1100,338,459,4,78,2013
"18",1059,704,167,228,6,36,2013
"19",1060,1026,249,388,4,105,2013
"20",1061,550,139,227,1,69,2013
"21",1062,831,204,297,5,70,2013
"22",11000,28924,10340,17275,106,6222,2013
"23",12051,415,94,147,1,42,2013
"24",12052,456,186,270,1,64,2013
"25",12053,286,108,169,2,54,2013
"26",12054,704,220,339,5,99,2013
"27",12060,659,225,299,6,60,2013
"28",12061,540,171,254,4,68,2013
"29",12062,370,127,170,4,29,2013
"30",12063,559,207,283,2,64,2013
"31",12064,603,202,288,5,68,2013
"32",12065,943,262,359,1,69,2013
"33",12066,407,125,161,2,26,2013
"34",12067,463,168,287,3,95,2013
"35",12068,472,153,201,3,36,2013
"36",12069,608,176,243,3,49,2013
"37",12070,445,84,121,2,27,2013
"38",12071,400,129,187,3,43,2013
"39",12072,564,159,247,9,68,2013
"40",12073,403,168,227,6,49,2013
"41",13003,937,459,659,9,184,2013
"42",13004,669,220,295,5,65,2013
"43",13071,1005,316,403,3,79,2013
"44",13072,698,248,313,5,52,2013
"45",13073,1155,328,421,4,66,2013
"46",13074,694,204,256,5,46,2013
"47",13075,973,396,527,6,118,2013
"48",13076,737,299,390,3,77,2013
"49",14511,900,350,480,5,122,2013
"50",14521,727,228,302,3,63,2013
"51",14522,792,248,332,4,75,2013
"52",14523,696,168,238,6,54,2013
"53",14524,1069,361,504,5,129,2013
"54",14612,2014,709,1065,11,321,2013
"55",14625,1017,236,346,3,98,2013
"56",14626,1195,312,479,7,153,2013
"57",14627,636,172,243,4,60,2013
"58",14628,636,157,234,3,68,2013
"59",14713,2616,1053,1615,16,523,2013
"60",14729,875,210,291,7,64,2013
"61",14730,710,186,266,2,74,2013
"62",15001,453,190,281,5,78,2013
"63",15002,1807,620,909,12,249,2013
"64",15003,1336,485,800,11,274,2013
"65",15081,339,138,175,0,29,2013
"66",15082,695,237,323,9,62,2013
"67",15083,665,209,272,8,41,2013
"68",15084,842,236,342,8,87,2013
"69",15085,814,312,431,5,91,2013
"70",15086,374,125,161,1,29,2013
"71",15087,871,185,237,1,40,2013
"72",15088,952,219,322,4,87,2013
"73",15089,929,275,380,13,78,2013
"74",15090,558,177,236,2,44,2013
"75",15091,539,181,249,0,54,2013
"76",16051,1732,548,716,6,142,2013
"77",16052,778,229,282,1,49,2013
"78",16053,484,167,210,3,29,2013
